variable,iv
n_PAY_0,0.7234014252312733
n_PAY_2,0.4635523669278583
n_PAY_3,0.3573372899318004
n_PAY_4,0.2867884743816841
n_PAY_5,0.27060480385383306
n_PAY_6,0.2207475854726384
disc_PAY_AMT1,0.16831688429707425
disc_LIMIT_BAL,0.16609507002854249
disc_PAY_AMT2,0.15038409546626846
disc_PAY_AMT3,0.12433578799527034
disc_PAY_AMT4,0.09336522671726397
disc_PAY_AMT6,0.08962781213204717
disc_PAY_AMT5,0.07648670831586665
disc_AGE,0.02067830725005225
n_EDUCATION,0.014038574693824406
disc_BILL_AMT4,0.011643994058817417
disc_BILL_AMT6,0.011309957077230367
disc_BILL_AMT5,0.009584015058008696
n_SEX,0.007954763048626181
n_MARRIAGE,0.005396927723442607
